sbj speed density distance duration resp
3.000000 20.000000 1.000000 250.000000 35.000000 2.276682
3.000000 10.000000 1.000000 250.000000 70.000000 1.496434
3.000000 20.000000 1.000000 250.000000 70.000000 0.570048
3.000000 10.000000 10.000000 210.000000 35.000000 2.763641
3.000000 20.000000 10.000000 210.000000 35.000000 1.139914
3.000000 10.000000 10.000000 210.000000 70.000000 1.300879
3.000000 20.000000 10.000000 210.000000 70.000000 0.092742
3.000000 10.000000 10.000000 230.000000 35.000000 3.699914
3.000000 20.000000 10.000000 230.000000 35.000000 1.070917
3.000000 10.000000 10.000000 230.000000 70.000000 0.843183
3.000000 20.000000 10.000000 230.000000 70.000000 0.473160
3.000000 10.000000 10.000000 250.000000 35.000000 2.898572
3.000000 20.000000 10.000000 250.000000 35.000000 2.082520
3.000000 10.000000 10.000000 250.000000 70.000000 1.663484
3.000000 20.000000 10.000000 250.000000 70.000000 0.693216
3.000000 10.000000 20.000000 210.000000 35.000000 3.551579
3.000000 20.000000 20.000000 210.000000 35.000000 1.057776
3.000000 10.000000 20.000000 210.000000 70.000000 1.161722
3.000000 20.000000 20.000000 210.000000 70.000000 0.346934
3.000000 10.000000 20.000000 230.000000 35.000000 3.079742
3.000000 20.000000 20.000000 230.000000 35.000000 1.140156
3.000000 10.000000 20.000000 230.000000 70.000000 0.900966
3.000000 20.000000 20.000000 230.000000 70.000000 0.393321
3.000000 10.000000 20.000000 250.000000 35.000000 3.100752
3.000000 20.000000 20.000000 250.000000 35.000000 1.390105
3.000000 10.000000 20.000000 250.000000 70.000000 1.415142
3.000000 20.000000 20.000000 250.000000 70.000000 0.449527
3.000000 10.000000 99.000000 210.000000 35.000000 2.492466
3.000000 20.000000 99.000000 210.000000 35.000000 1.315238
3.000000 10.000000 99.000000 210.000000 70.000000 0.756066
3.000000 20.000000 99.000000 210.000000 70.000000 0.316555
3.000000 10.000000 99.000000 230.000000 35.000000 3.041547
3.000000 20.000000 99.000000 230.000000 35.000000 2.560167
3.000000 10.000000 99.000000 230.000000 70.000000 1.715691
3.000000 20.000000 99.000000 230.000000 70.000000 0.590795
3.000000 10.000000 99.000000 250.000000 35.000000 3.482704
3.000000 20.000000 99.000000 250.000000 35.000000 2.741339
3.000000 10.000000 99.000000 250.000000 70.000000 2.555683
3.000000 20.000000 99.000000 250.000000 70.000000 0.961901
4.000000 10.000000 1.000000 210.000000 35.000000 1.847811
4.000000 20.000000 1.000000 210.000000 35.000000 1.314834
4.000000 10.000000 1.000000 210.000000 70.000000 0.786021
4.000000 20.000000 1.000000 210.000000 70.000000 0.027863
4.000000 10.000000 1.000000 230.000000 35.000000 2.253685
4.000000 20.000000 1.000000 230.000000 35.000000 1.426382
4.000000 10.000000 1.000000 230.000000 70.000000 1.112609
4.000000 20.000000 1.000000 230.000000 70.000000 0.307544
4.000000 10.000000 1.000000 250.000000 35.000000 1.980951
4.000000 20.000000 1.000000 250.000000 35.000000 1.650888
4.000000 10.000000 1.000000 250.000000 70.000000 1.395614
4.000000 20.000000 1.000000 250.000000 70.000000 0.609108
4.000000 10.000000 10.000000 210.000000 35.000000 1.732506
4.000000 20.000000 10.000000 210.000000 35.000000 1.170760
4.000000 10.000000 10.000000 210.000000 70.000000 1.174659
4.000000 20.000000 10.000000 210.000000 70.000000 0.164237
4.000000 10.000000 10.000000 230.000000 35.000000 1.794926
4.000000 20.000000 10.000000 230.000000 35.000000 1.405172
4.000000 10.000000 10.000000 230.000000 70.000000 1.381804
4.000000 20.000000 10.000000 230.000000 70.000000 0.276945
4.000000 10.000000 10.000000 250.000000 35.000000 2.124506
4.000000 20.000000 10.000000 250.000000 35.000000 1.518881
4.000000 10.000000 10.000000 250.000000 70.000000 1.315030
4.000000 20.000000 10.000000 250.000000 70.000000 0.648730
4.000000 10.000000 20.000000 210.000000 35.000000 1.835789
4.000000 20.000000 20.000000 210.000000 35.000000 1.508230
4.000000 10.000000 20.000000 210.000000 70.000000 0.867962
4.000000 20.000000 20.000000 210.000000 70.000000 0.125287
4.000000 10.000000 20.000000 230.000000 35.000000 1.824509
4.000000 20.000000 20.000000 230.000000 35.000000 1.424035
4.000000 10.000000 20.000000 230.000000 70.000000 1.293719
4.000000 20.000000 20.000000 230.000000 70.000000 0.344092
4.000000 10.000000 20.000000 250.000000 35.000000 2.192245
4.000000 20.000000 20.000000 250.000000 35.000000 1.140193
4.000000 10.000000 20.000000 250.000000 70.000000 1.362275
4.000000 20.000000 20.000000 250.000000 70.000000 0.486582
4.000000 10.000000 99.000000 210.000000 35.000000 1.765396
4.000000 20.000000 99.000000 210.000000 35.000000 1.585693
4.000000 10.000000 99.000000 210.000000 70.000000 1.090803
4.000000 20.000000 99.000000 210.000000 70.000000 0.162001
4.000000 10.000000 99.000000 230.000000 35.000000 1.762356
4.000000 20.000000 99.000000 230.000000 35.000000 1.400136
4.000000 10.000000 99.000000 230.000000 70.000000 1.214781
