sbj rep speed density distance duration resp
1.000000 4.000000 20.000000 10.000000 230.000000 70.000000 0.772648
1.000000 5.000000 20.000000 10.000000 230.000000 70.000000 0.663405
1.000000 1.000000 10.000000 10.000000 250.000000 35.000000 1.116114
1.000000 2.000000 10.000000 10.000000 250.000000 35.000000 1.101977
1.000000 3.000000 10.000000 10.000000 250.000000 35.000000 1.002059
1.000000 4.000000 10.000000 10.000000 250.000000 35.000000 1.585501
1.000000 5.000000 10.000000 10.000000 250.000000 35.000000 0.889115
1.000000 1.000000 20.000000 10.000000 250.000000 35.000000 0.921451
1.000000 2.000000 20.000000 10.000000 250.000000 35.000000 0.988015
1.000000 3.000000 20.000000 10.000000 250.000000 35.000000 0.762109
1.000000 4.000000 20.000000 10.000000 250.000000 35.000000 0.812735
1.000000 5.000000 20.000000 10.000000 250.000000 35.000000 0.658695
1.000000 1.000000 10.000000 10.000000 250.000000 70.000000 0.746696
1.000000 2.000000 10.000000 10.000000 250.000000 70.000000 0.685071
1.000000 3.000000 10.000000 10.000000 250.000000 70.000000 0.777882
1.000000 4.000000 10.000000 10.000000 250.000000 70.000000 0.866705
1.000000 5.000000 10.000000 10.000000 250.000000 70.000000 0.913822
1.000000 1.000000 20.000000 10.000000 250.000000 70.000000 0.404081
1.000000 2.000000 20.000000 10.000000 250.000000 70.000000 0.614551
1.000000 3.000000 20.000000 10.000000 250.000000 70.000000 0.387514
1.000000 4.000000 20.000000 10.000000 250.000000 70.000000 0.688189
1.000000 5.000000 20.000000 10.000000 250.000000 70.000000 0.583599
1.000000 1.000000 10.000000 20.000000 210.000000 35.000000 1.067495
1.000000 2.000000 10.000000 20.000000 210.000000 35.000000 1.163521
1.000000 3.000000 10.000000 20.000000 210.000000 35.000000 1.078915
1.000000 4.000000 10.000000 20.000000 210.000000 35.000000 0.992355
1.000000 5.000000 10.000000 20.000000 210.000000 35.000000 1.029404
1.000000 1.000000 20.000000 20.000000 210.000000 35.000000 0.867135
1.000000 2.000000 20.000000 20.000000 210.000000 35.000000 0.930243
1.000000 3.000000 20.000000 20.000000 210.000000 35.000000 0.636654
1.000000 4.000000 20.000000 20.000000 210.000000 35.000000 0.725907
1.000000 5.000000 20.000000 20.000000 210.000000 35.000000 0.796434
1.000000 1.000000 10.000000 20.000000 210.000000 70.000000 0.747411
1.000000 2.000000 10.000000 20.000000 210.000000 70.000000 0.687279
1.000000 3.000000 10.000000 20.000000 210.000000 70.000000 0.412591
1.000000 4.000000 10.000000 20.000000 210.000000 70.000000 0.737494
1.000000 5.000000 10.000000 20.000000 210.000000 70.000000 0.940706
1.000000 1.000000 20.000000 20.000000 210.000000 70.000000 0.280260
1.000000 2.000000 20.000000 20.000000 210.000000 70.000000 0.310605
1.000000 3.000000 20.000000 20.000000 210.000000 70.000000 0.233111
1.000000 4.000000 20.000000 20.000000 210.000000 70.000000 0.303167
1.000000 5.000000 20.000000 20.000000 210.000000 70.000000 0.400998
1.000000 1.000000 10.000000 20.000000 230.000000 35.000000 1.161267
1.000000 2.000000 10.000000 20.000000 230.000000 35.000000 1.071093
1.000000 3.000000 10.000000 20.000000 230.000000 35.000000 1.359647
1.000000 4.000000 10.000000 20.000000 230.000000 35.000000 1.172396
1.000000 5.000000 10.000000 20.000000 230.000000 35.000000 1.477535
1.000000 1.000000 20.000000 20.000000 230.000000 35.000000 0.623286
1.000000 2.000000 20.000000 20.000000 230.000000 35.000000 0.801757
1.000000 3.000000 20.000000 20.000000 230.000000 35.000000 0.699676
1.000000 4.000000 20.000000 20.000000 230.000000 35.000000 0.822550
1.000000 5.000000 20.000000 20.000000 230.000000 35.000000 0.769725
1.000000 1.000000 10.000000 20.000000 230.000000 70.000000 1.155335
1.000000 2.000000 10.000000 20.000000 230.000000 70.000000 0.563255
1.000000 3.000000 10.000000 20.000000 230.000000 70.000000 0.528663
1.000000 4.000000 10.000000 20.000000 230.000000 70.000000 0.763732
1.000000 5.000000 10.000000 20.000000 230.000000 70.000000 1.014776
1.000000 1.000000 20.000000 20.000000 230.000000 70.000000 0.452481
1.000000 2.000000 20.000000 20.000000 230.000000 70.000000 0.499678
1.000000 3.000000 20.000000 20.000000 230.000000 70.000000 0.503266
1.000000 4.000000 20.000000 20.000000 230.000000 70.000000 0.505202
1.000000 5.000000 20.000000 20.000000 230.000000 70.000000 0.498777
1.000000 1.000000 10.000000 20.000000 250.000000 35.000000 1.314073
1.000000 2.000000 10.000000 20.000000 250.000000 35.000000 1.231372
1.000000 3.000000 10.000000 20.000000 250.000000 35.000000 1.597471
1.000000 4.000000 10.000000 20.000000 250.000000 35.000000 1.073172
1.000000 5.000000 10.000000 20.000000 250.000000 35.000000 1.031648
1.000000 1.000000 20.000000 20.000000 250.000000 35.000000 1.077295
1.000000 2.000000 20.000000 20.000000 250.000000 35.000000 1.052254
1.000000 3.000000 20.000000 20.000000 250.000000 35.000000 0.939410
1.000000 4.000000 20.000000 20.000000 250.000000 35.000000 0.746538
1.000000 5.000000 20.000000 20.000000 250.000000 35.000000 0.745003
1.000000 1.000000 10.000000 20.000000 250.000000 70.000000 0.861322
1.000000 2.000000 10.000000 20.000000 250.000000 70.000000 0.615884
1.000000 3.000000 10.000000 20.000000 250.000000 70.000000 0.688001
1.000000 4.000000 10.000000 20.000000 250.000000 70.000000 0.786132
1.000000 5.000000 10.000000 20.000000 250.000000 70.000000 0.847258
1.000000 1.000000 20.000000 20.000000 250.000000 70.000000 0.427247
